Speaker: Simeón
  Tier Type: po, Annotations Count: 680
    Time Stamp: ("'ts1423'", "'ts1424'"), Annotation: mayllasha
    Time Stamp: ("'ts1425'", "'ts1426'"), Annotation: yakuan
    Time Stamp: ("'ts1437'", "'ts1438'"), Annotation: ñuka nirkani
    Time Stamp: ("'ts1439'", "'ts1440'"), Annotation: kikimbag
    Time Stamp: ("'ts1441'", "'ts1442'"), Annotation: abuelaguan
    Time Stamp: ("'ts1443'", "'ts1444'"), Annotation: shug entrevistata rrurran munani
    Time Stamp: ("'ts1445'", "'ts1446'"), Annotation: kikinkuna charichun
    Time Stamp: ("'ts1447'", "'ts1448'"), Annotation: jipaman grabashkata
    Time Stamp: ("'ts1449'", "'ts1450'"), Annotation: payka ali
    Time Stamp: ("'ts1451'", "'ts1452'"), Annotation: ali kanga nirka
    Time Stamp: ("'ts1455'", "'ts1456'"), Annotation: ari
    Time Stamp: ("'ts1463'", "'ts1464'"), Annotation: (asin)
    Time Stamp: ("'ts1466'", "'ts1468'"), Annotation: pero mach
    Time Stamp: ("'ts1469'", "'ts1470'"), Annotation: mas
    Time Stamp: ("'ts1471'", "'ts1472'"), Annotation: kichua shimipi parlajuni
    Time Stamp: ("'ts1473'", "'ts1474'"), Annotation: kunan rratu
    Time Stamp: ("'ts1475'", "'ts1476'"), Annotation: mas o menos
    Time Stamp: ("'ts1477'", "'ts1478'"), Annotation: chaypi
    Time Stamp: ("'ts1479'", "'ts1480'"), Annotation: (asin)
    Time Stamp: ("'ts1481'", "'ts1482'"), Annotation: shujta apamurka
    Time Stamp: ("'ts1483'", "'ts1484'"), Annotation: kaypi churashun
    Time Stamp: ("'ts1485'", "'ts1486'"), Annotation: ama kutin
    Time Stamp: ("'ts1487'", "'ts1488'"), Annotation: nachu
    Time Stamp: ("'ts1489'", "'ts1490'"), Annotation: (...................)
    Time Stamp: ("'ts1499'", "'ts1500'"), Annotation: mayjan
    Time Stamp: ("'ts1503'", "'ts1504'"), Annotation: mishkimon
    Time Stamp: ("'ts1507'", "'ts1508'"), Annotation: mayjan
    Time Stamp: ("'ts1509'", "'ts1510'"), Annotation: ha
    Time Stamp: ("'ts1511'", "'ts1512'"), Annotation: chay
    Time Stamp: ("'ts1515'", "'ts1516'"), Annotation: chay vecina
    Time Stamp: ("'ts1518'", "'ts1520'"), Annotation: ha ya
    Time Stamp: ("'ts1521'", "'ts1522'"), Annotation: listo
    Time Stamp: ("'ts1523'", "'ts1524'"), Annotation: tupanllu
    Time Stamp: ("'ts1525'", "'ts1526'"), Annotation: tupanllu
    Time Stamp: ("'ts1529'", "'ts1530'"), Annotation: ari
    Time Stamp: ("'ts1551'", "'ts1553'"), Annotation: mmmm
    Time Stamp: ("'ts1559'", "'ts1560'"), Annotation: chitata
    Time Stamp: ("'ts1561'", "'ts1562'"), Annotation: shina
    Time Stamp: ("'ts1563'", "'ts1564'"), Annotation: katishpa guaykuman apashun
    Time Stamp: ("'ts1571'", "'ts1572'"), Annotation: mm
    Time Stamp: ("'ts1575'", "'ts1577'"), Annotation: chita
    Time Stamp: ("'ts1591'", "'ts1592'"), Annotation: chay chimbapi
    Time Stamp: ("'ts1593'", "'ts1594'"), Annotation: kikimbachu
    Time Stamp: ("'ts1595'", "'ts1596'"), Annotation: chaykuna
    Time Stamp: ("'ts1599'", "'ts1600'"), Annotation: na shuk
    Time Stamp: ("'ts1617'", "'ts1618'"), Annotation: mm j
    Time Stamp: ("'ts1621'", "'ts1622'"), Annotation: chika
    Time Stamp: ("'ts1623'", "'ts1624'"), Annotation: y kay
    Time Stamp: ("'ts1625'", "'ts1626'"), Annotation: kutin shug urkukuna
    Time Stamp: ("'ts1627'", "'ts1628'"), Annotation: llagtakunan kayman
    Time Stamp: ("'ts1629'", "'ts1630'"), Annotation: rringichu
    Time Stamp: ("'ts1633'", "'ts1634'"), Annotation: na
    Time Stamp: ("'ts1636'", "'ts1638'"), Annotation: jaguapi
    Time Stamp: ("'ts1643'", "'ts1644'"), Annotation: ha ja
    Time Stamp: ("'ts1655'", "'ts1656'"), Annotation: cierto
    Time Stamp: ("'ts1657'", "'ts1658'"), Annotation: haaaa
    Time Stamp: ("'ts1659'", "'ts1660'"), Annotation: ima shina rrurrana kangichi
    Time Stamp: ("'ts1661'", "'ts1662'"), Annotation: domingota
    Time Stamp: ("'ts1681'", "'ts1682'"), Annotation: haa
    Time Stamp: ("'ts1683'", "'ts1684'"), Annotation: cierto
    Time Stamp: ("'ts1695'", "'ts1696'"), Annotation: cierto
    Time Stamp: ("'ts1699'", "'ts1700'"), Annotation: votachun
    Time Stamp: ("'ts1701'", "'ts1703'"), Annotation: nishpa
    Time Stamp: ("'ts1709'", "'ts1710'"), Annotation: ari
    Time Stamp: ("'ts1719'", "'ts1720'"), Annotation: ari
    Time Stamp: ("'ts1723'", "'ts1724'"), Annotation: mmmm
    Time Stamp: ("'ts1735'", "'ts1736'"), Annotation: haaaaaaaaaa
    Time Stamp: ("'ts1737'", "'ts1738'"), Annotation: entonces
    Time Stamp: ("'ts1739'", "'ts1740'"), Annotation: kaya domingota
    Time Stamp: ("'ts1741'", "'ts1742'"), Annotation: shitagringi
    Time Stamp: ("'ts1743'", "'ts1744'"), Annotation: Cangahuapi
    Time Stamp: ("'ts1759'", "'ts1760'"), Annotation: (........)
    Time Stamp: ("'ts1761'", "'ts1762'"), Annotation: sinachu kan
    Time Stamp: ("'ts1765'", "'ts1766'"), Annotation: ya
    Time Stamp: ("'ts1769'", "'ts1770'"), Annotation: paykunaka
    Time Stamp: ("'ts1771'", "'ts1772'"), Annotation: osea
    Time Stamp: ("'ts1773'", "'ts1774'"), Annotation: heee
    Time Stamp: ("'ts1775'", "'ts1776'"), Annotation: tauka
    Time Stamp: ("'ts1777'", "'ts1778'"), Annotation: tauka
    Time Stamp: ("'ts1779'", "'ts1780'"), Annotation: gente
    Time Stamp: ("'ts1781'", "'ts1782'"), Annotation: rrina
    Time Stamp: ("'ts1783'", "'ts1784'"), Annotation: kan chayman
    Time Stamp: ("'ts1786'", "'ts1788'"), Annotation: jundachun
    Time Stamp: ("'ts1815'", "'ts1817'"), Annotation: ari
    Time Stamp: ("'ts1821'", "'ts1822'"), Annotation: ha
    Time Stamp: ("'ts1823'", "'ts1824'"), Annotation: shina
    Time Stamp: ("'ts1839'", "'ts1840'"), Annotation: kayna
    Time Stamp: ("'ts1844'", "'ts1846'"), Annotation: cierto
    Time Stamp: ("'ts1857'", "'ts1858'"), Annotation: haaaaa
    Time Stamp: ("'ts1859'", "'ts1860'"), Annotation: ya, ya, ya
    Time Stamp: ("'ts1865'", "'ts1866'"), Annotation: ari
    Time Stamp: ("'ts1869'", "'ts1870'"), Annotation: ima
    Time Stamp: ("'ts1871'", "'ts1872'"), Annotation: ima horas
    Time Stamp: ("'ts1873'", "'ts1874'"), Annotation: kay jatun
    Time Stamp: ("'ts1875'", "'ts1876'"), Annotation: carreterata
    Time Stamp: ("'ts1877'", "'ts1878'"), Annotation: rrurrarka
    Time Stamp: ("'ts1879'", "'ts1880'"), Annotation: kaypi
    Time Stamp: ("'ts1881'", "'ts1882'"), Annotation: punda na tiarka
    Time Stamp: ("'ts1883'", "'ts1884'"), Annotation: nachu
    Time Stamp: ("'ts1885'", "'ts1886'"), Annotation: ima hora
    Time Stamp: ("'ts1909'", "'ts1910'"), Annotation: ha ja
    Time Stamp: ("'ts1915'", "'ts1916'"), Annotation: pero ima shina karka
    Time Stamp: ("'ts1917'", "'ts1918'"), Annotation: rrumi ñan
    Time Stamp: ("'ts1919'", "'ts1920'"), Annotation: ohhhhhhh
    Time Stamp: ("'ts1921'", "'ts1922'"), Annotation: oh
    Time Stamp: ("'ts1923'", "'ts1924'"), Annotation: ña
    Time Stamp: ("'ts1925'", "'ts1926'"), Annotation: asfaltado
    Time Stamp: ("'ts1927'", "'ts1928'"), Annotation: oh
    Time Stamp: ("'ts1929'", "'ts1930'"), Annotation: empedraduchu karka
    Time Stamp: ("'ts1936'", "'ts1938'"), Annotation: kashna
    Time Stamp: ("'ts1939'", "'ts1940'"), Annotation: pana
    Time Stamp: ("'ts1941'", "'ts1943'"), Annotation: shina
    Time Stamp: ("'ts1945'", "'ts1947'"), Annotation: haaaa
    Time Stamp: ("'ts1952'", "'ts1954'"), Annotation: haaa
    Time Stamp: ("'ts1955'", "'ts1956'"), Annotation: tren tiarka jaguapi
    Time Stamp: ("'ts1957'", "'ts1959'"), Annotation: nachu
    Time Stamp: ("'ts1967'", "'ts1968'"), Annotation: ha ja
    Time Stamp: ("'ts1977'", "'ts1978'"), Annotation: cierto
    Time Stamp: ("'ts1979'", "'ts1980'"), Annotation: ima shina karka
    Time Stamp: ("'ts1981'", "'ts1982'"), Annotation: shina tren
    Time Stamp: ("'ts1987'", "'ts1988'"), Annotation: Ibarraman
    Time Stamp: ("'ts1994'", "'ts1996'"), Annotation: maypi yaykurkangi
    Time Stamp: ("'ts1997'", "'ts1998'"), Annotation: shina
    Time Stamp: ("'ts1999'", "'ts2000'"), Annotation: porque
    Time Stamp: ("'ts2001'", "'ts2002'"), Annotation: na
    Time Stamp: ("'ts2003'", "'ts2004'"), Annotation: kaypi
    Time Stamp: ("'ts2005'", "'ts2006'"), Annotation: tiarka
    Time Stamp: ("'ts2007'", "'ts2008'"), Annotation: estacion
    Time Stamp: ("'ts2009'", "'ts2010'"), Annotation: hooooo
    Time Stamp: ("'ts2015'", "'ts2016'"), Annotation: Pachala
    Time Stamp: ("'ts2019'", "'ts2020'"), Annotation: ari
    Time Stamp: ("'ts2029'", "'ts2030'"), Annotation: mmmmm
