Speaker: SIMEON A
  Tier Type: po, Annotations Count: 720
    Time Stamp: ("'ts2455'", "'ts2456'"), Annotation: guatapag
    Time Stamp: ("'ts2457'", "'ts2458'"), Annotation: kay
    Time Stamp: ("'ts2459'", "'ts2460'"), Annotation: trabajuta
    Time Stamp: ("'ts2461'", "'ts2462'"), Annotation: casi rrurranakani
    Time Stamp: ("'ts2463'", "'ts2464'"), Annotation: tonces
    Time Stamp: ("'ts2465'", "'ts2466'"), Annotation: simunangichi
    Time Stamp: ("'ts2467'", "'ts2468'"), Annotation: ñuka
    Time Stamp: ("'ts2469'", "'ts2470'"), Annotation: japisha
    Time Stamp: ("'ts2471'", "'ts2472'"), Annotation: celular
    Time Stamp: ("'ts2473'", "'ts2474'"), Annotation: o ima
    Time Stamp: ("'ts2475'", "'ts2476'"), Annotation: contacto
    Time Stamp: ("'ts2478'", "'ts2480'"), Annotation: shamungapa
    Time Stamp: ("'ts2481'", "'ts2483'"), Annotation: kutin shug punlla
    Time Stamp: ("'ts2487'", "'ts2488'"), Annotation: ari
    Time Stamp: ("'ts2508'", "'ts2510'"), Annotation: ari
    Time Stamp: ("'ts2515'", "'ts2516'"), Annotation: ari
    Time Stamp: ("'ts2517'", "'ts2518'"), Annotation: ña
    Time Stamp: ("'ts2519'", "'ts2520'"), Annotation: japisha
    Time Stamp: ("'ts2521'", "'ts2522'"), Annotation: tukuchishpa
    Time Stamp: ("'ts2523'", "'ts2524'"), Annotation: japisha
    Time Stamp: ("'ts2525'", "'ts2527'"), Annotation: numerukuna
    Time Stamp: ("'ts2548'", "'ts2550'"), Annotation: ya ya
    Time Stamp: ("'ts2553'", "'ts2554'"), Annotation: cahypimi
    Time Stamp: ("'ts2555'", "'ts2556'"), Annotation: nose
    Time Stamp: ("'ts2557'", "'ts2558'"), Annotation: imata
    Time Stamp: ("'ts2559'", "'ts2560'"), Annotation: rrikuchina
    Time Stamp: ("'ts2561'", "'ts2562'"), Annotation: munashpa
    Time Stamp: ("'ts2563'", "'ts2564'"), Annotation: tal ves
    Time Stamp: ("'ts2565'", "'ts2566'"), Annotation: chagraman
    Time Stamp: ("'ts2567'", "'ts2568'"), Annotation: shug alli
    Time Stamp: ("'ts2569'", "'ts2570'"), Annotation: ali punlla
    Time Stamp: ("'ts2572'", "'ts2574'"), Annotation: chagraman rrishpa
