Speaker: Mujer Joven
  Tier Type: po, Annotations Count: 195
    Time Stamp: ('78',), Annotation: este año esta bajo la cebulla
    Time Stamp: ('79',), Annotation: ah si
    Time Stamp: ('79',), Annotation: (No se entiede)
    Time Stamp: ('79',), Annotation: La Elsita y la Lolita son asi
    Time Stamp: ('79',), Annotation: tambien la Zoilita hablan amablemente
    Time Stamp: ('79',), Annotation: Venga por favor mamita venga sientate digo
    Time Stamp: ('79',), Annotation: cuando dice que entre decimos permiso paso
    Time Stamp: ('79',), Annotation: y llegamos saludando con la mano
    Time Stamp: ('79',), Annotation: a donde vas
    Time Stamp: ('79',), Annotation: ya conversemos conversemos
    Time Stamp: ('79',), Annotation: la avena qe comemos nosotros?
    Time Stamp: ('80',), Annotation: tambien se da la cebada?
    Time Stamp: ('80',), Annotation: padrino vives en zona calida verdad
    Time Stamp: ('80',), Annotation: ah entonces como aqui en el Ecuador
    Time Stamp: ('80',), Annotation: en el calor se secan las hiervas
    Time Stamp: ('80',), Annotation: ya no hay
    Time Stamp: ('80',), Annotation: y las habas se marchitan
    Time Stamp: ('80',), Annotation: y tu papa cuantos añs tiene
    Time Stamp: ('80',), Annotation: los padres de padrino
    Time Stamp: ('80',), Annotation: casi ha sido de la edad de mi abuela
    Time Stamp: ('80',), Annotation: Eso no mas es?
    Time Stamp: ('81',), Annotation: hubieses traido para hacerme conocer a mi
    Time Stamp: ('81',), Annotation: y ahora ya mismo estados unidos
    Time Stamp: ('81',), Annotation: ya mismo tendra
    Time Stamp: ('81',), Annotation: esta lejos?
    Time Stamp: ('81',), Annotation: se ve como padrino o son mas grandes tus hermanos
    Time Stamp: ('81',), Annotation: tienen mas plata?
    Time Stamp: ('81',), Annotation: en la casa de tus padres viven?
    Time Stamp: ('81',), Annotation: y ellos ya no trabajan en nada? esta solo jubilados
    Time Stamp: ('81',), Annotation: ya con otros sueldos verdad?
