Speaker: hombre 1
  Tier Type: po, Annotations Count: 772
    Time Stamp: ("'ts533'", "'ts534'"), Annotation: michish
    Time Stamp: ("'ts535'", "'ts536'"), Annotation: soltira
    Time Stamp: ("'ts537'", "'ts538'"), Annotation: purishkani chayka
    Time Stamp: ("'ts539'", "'ts540'"), Annotation: shina
    Time Stamp: ("'ts541'", "'ts542'"), Annotation: yurakunga munan  shina
    Time Stamp: ("'ts543'", "'ts544'"), Annotation: purishkaaaallanin
    Time Stamp: ("'ts545'", "'ts546'"), Annotation: shina purishpa chay sulteruta enamorarishgaa
    Time Stamp: ("'ts547'", "'ts548'"), Annotation: cucaman shina apashgaka shinamikuy    shina ña mañagpika mikushgaka
    Time Stamp: ("'ts549'", "'ts550'"), Annotation: chay kayaga llamaaaaada
    Time Stamp: ("'ts551'", "'ts552'"), Annotation: aychamata apamuriniringaka
    Time Stamp: ("'ts553'", "'ts554'"), Annotation: aychata  apugpika kutin
    Time Stamp: ("'ts555'", "'ts556'"), Annotation: chay aychata
    Time Stamp: ("'ts557'", "'ts558'"), Annotation: apugpika
    Time Stamp: ("'ts559'", "'ts560'"), Annotation: payka ladunma tigrarishp
    Time Stamp: ("'ts561'", "'ts562'"), Annotation: tullundikaika tullindi mikushkanin
    Time Stamp: ("'ts563'", "'ts564'"), Annotation: yagutin
    Time Stamp: ("'ts565'", "'ts566'"), Annotation: guambrilluka
    Time Stamp: ("'ts567'", "'ts568'"), Annotation: shina
    Time Stamp: ("'ts569'", "'ts570'"), Annotation: pinarijungamari
    Time Stamp: ("'ts571'", "'ts572'"), Annotation: tullutaga allkuman  na shitashpa
    Time Stamp: ("'ts573'", "'ts574'"), Annotation: shug alkuguata charishka nin
    Time Stamp: ("'ts575'", "'ts576'"), Annotation: guambrilluka
    Time Stamp: ("'ts577'", "'ts578'"), Annotation: chyka
    Time Stamp: ("'ts579'", "'ts580'"), Annotation: ishta ishta ishta tamiyka llamaman rijujpi
    Time Stamp: ("'ts581'", "'ts582'"), Annotation: yakuguin
    Time Stamp: ("'ts583'", "'ts584'"), Annotation: kunga tulli ugllaringayashga nin
    Time Stamp: ("'ts585'", "'ts586'"), Annotation: alku
    Time Stamp: ("'ts587'", "'ts588'"), Annotation: llamaguan yalishga nin
    Time Stamp: ("'ts589'", "'ts590'"), Annotation: paygana  kunga tullupi ugsharishka rishshshkanin
    Time Stamp: ("'ts591'", "'ts592'"), Annotation: apash
    Time Stamp: ("'ts593'", "'ts594'"), Annotation: chinashpaka
    Time Stamp: ("'ts595'", "'ts596'"), Annotation: jatun altu altu jakapi churarishkanin
    Time Stamp: ("'ts597'", "'ts598'"), Annotation: alkuka katish rishpa
    Time Stamp: ("'ts599'", "'ts600'"), Annotation: maypi maypipacha sakigpi    alku katishpi rishka
    Time Stamp: ("'ts601'", "'ts602'"), Annotation: tigrish shamush
    Time Stamp: ("'ts603'", "'ts605'"), Annotation: ulkuguata amulish llamata guasiman chayachirishkanin
    Time Stamp: ("'ts607'", "'ts608'"), Annotation: chay kutin alkuta tapugpimi alkuguka
    Time Stamp: ("'ts609'", "'ts610'"), Annotation: kaynashshalla alku apash rishka
    Time Stamp: ("'ts611'", "'ts612'"), Annotation: kay jakapiminigpi
    Time Stamp: ("'ts613'", "'ts614'"), Annotation: llukchirishkanin
    Time Stamp: ("'ts615'", "'ts616'"), Annotation: chay jakapi chapaaaajushkanin
    Time Stamp: ("'ts617'", "'ts618'"), Annotation: kundurka rishkanin mayminbash
    Time Stamp: ("'ts619'", "'ts620'"), Annotation: chayga imasha
    Time Stamp: ("'ts621'", "'ts622'"), Annotation: aycgaguata
    Time Stamp: ("'ts623'", "'ts624'"), Annotation: ......................................
    Time Stamp: ("'ts625'", "'ts626'"), Annotation: carash
    Time Stamp: ("'ts627'", "'ts628'"), Annotation: makash makash
    Time Stamp: ("'ts629'", "'ts630'"), Annotation: mikuyshni
    Time Stamp: ("'ts631'", "'ts632'"), Annotation: makana nin
    Time Stamp: ("'ts633'", "'ts634'"), Annotation: chi wambrilluguaguaka ña pluma viñarijushkanin
    Time Stamp: ("'ts635'", "'ts636'"), Annotation: chita yuntata wakrata llushtish guaskatarrimindishpllukchish apamuna
    Time Stamp: ("'ts637'", "'ts638'"), Annotation: jakamanda shina
