Speaker: simeon
  Tier Type: po, Annotations Count: 1001
    Time Stamp: ("'ts858'", "'ts860'"), Annotation: o kelviswan algo  kikinwan condorta
    Time Stamp: ("'ts861'", "'ts863'"), Annotation: kaypi rrikushkani cero puntaspi
    Time Stamp: ("'ts865'", "'ts868'"), Annotation:  a pero chay kan original kichwamanta  castellanopi
    Time Stamp: ("'ts870'", "'ts872'"), Annotation: pero condor nin castellanopi owan nachu pero cundur
    Time Stamp: ("'ts873'", "'ts875'"), Annotation: kichwa originalmi kan  Perupi kanga cuntur
    Time Stamp: ("'ts878'", "'ts880'"), Annotation: porque mana d utilizan kechwapi paykuna cuntur ana d utilizan
    Time Stamp: ("'ts881'", "'ts886'"), Annotation: pero original bueno chay chay animal kay kay  alpamanda kanga  na shuk llaktamanta
    Time Stamp: ("'ts887'", "'ts890'"), Annotation: Californiapipash tyan Estados Unidos pero kichwa palabra shutichishka condor california condor nin
    Time Stamp: ("'ts891'", "'ts894'"), Annotation: ingleshpipash nin California condor nin pero chay kichwamanta kan
    Time Stamp: ("'ts897'", "'ts898'"), Annotation: cobre tyanchu
    Time Stamp: ("'ts900'", "'ts902'"), Annotation: ajan ajan
    Time Stamp: ("'ts903'", "'ts904'"), Annotation: uyashkangui anta o anda
    Time Stamp: ("'ts906'", "'ts908'"), Annotation: ari
    Time Stamp: ("'ts909'", "'ts910'"), Annotation: tyanmi punada librokunapi pero na uyashkani
    Time Stamp: ("'ts911'", "'ts912'"), Annotation: cuerda
    Time Stamp: ("'ts914'", "'ts917'"), Annotation: watuk uyashkangui
    Time Stamp: ("'ts918'", "'ts919'"), Annotation: watuk
    Time Stamp: ("'ts921'", "'ts923'"), Annotation: watuk o watuwa
    Time Stamp: ("'ts924'", "'ts927'"), Annotation: watuk
    Time Stamp: ("'ts929'", "'ts930'"), Annotation: yam
    Time Stamp: ("'ts931'", "'ts932'"), Annotation: tyashkami watuk
    Time Stamp: ("'ts933'", "'ts934'"), Annotation: esquina o rincon
    Time Stamp: ("'ts936'", "'ts938'"), Annotation: na tyan
    Time Stamp: ("'ts941'", "'ts944'"), Annotation: chay juchu
    Time Stamp: ("'ts948'", "'ts950'"), Annotation: kuchu
    Time Stamp: ("'ts952'", "'ts953'"), Annotation: kuchu kuchu
    Time Stamp: ("'ts955'", "'ts957'"), Annotation: con la k kuchu
    Time Stamp: ("'ts958'", "'ts962'"), Annotation: juchu a yaya
    Time Stamp: ("'ts963'", "'ts964'"), Annotation: a ya  kichwa
    Time Stamp: ("'ts967'", "'ts969'"), Annotation: cuy juchu
    Time Stamp: ("'ts973'", "'ts974'"), Annotation: a ya
    Time Stamp: ("'ts975'", "'ts976'"), Annotation: si na  ñuka charini shuk
    Time Stamp: ("'ts977'", "'ts978'"), Annotation: estudio de ese sonido rrikungapak si charirkani juchu o na
    Time Stamp: ("'ts979'", "'ts980'"), Annotation: ari shina charirkani a pero juchu
    Time Stamp: ("'ts981'", "'ts982'"), Annotation: oyacachipi nin juchu  Imbabutrapi nin kuchu
    Time Stamp: ("'ts984'", "'ts986'"), Annotation: Cotopaxipi nin kjuchu
    Time Stamp: ("'ts988'", "'ts990'"), Annotation: interesante juchu kashka kaypi ya
    Time Stamp: ("'ts991'", "'ts992'"), Annotation: em
    Time Stamp: ("'ts993'", "'ts994'"), Annotation: ishkay tyan o o fantasma
    Time Stamp: ("'ts995'", "'ts997'"), Annotation: espiritu wakimpi o tambien nin cadaver pero ñuka uyashkani mas espiritu  o fantasma ningapak aya nachu
    Time Stamp: ("'ts999'", "'ts1001'"), Annotation: cadaver  ningapak wañushkata  niringa nachu
    Time Stamp: ("'ts1004'", "'ts1006'"), Annotation: wañuk nin
    Time Stamp: ("'ts1007'", "'ts1009'"), Annotation:  ari pero aya kanga shuk
    Time Stamp: ("'ts1010'", "'ts1011'"), Annotation: espiritu nachu
    Time Stamp: ("'ts1012'", "'ts1014'"), Annotation: ari
    Time Stamp: ("'ts1015'", "'ts1016'"), Annotation: coral
    Time Stamp: ("'ts1019'", "'ts1021'"), Annotation: currul
    Time Stamp: ("'ts1024'", "'ts1026'"), Annotation: kincha
    Time Stamp: ("'ts1028'", "'ts1031'"), Annotation: kincha corral ishkandi nachu
    Time Stamp: ("'ts1033'", "'ts1034'"), Annotation: kincha corral
    Time Stamp: ("'ts1035'", "'ts1037'"), Annotation: algodon tyashka kaypi kunampa
    Time Stamp: ("'ts1038'", "'ts1040'"), Annotation: ajan
    Time Stamp: ("'ts1041'", "'ts1043'"), Annotation: utku nin kaypi pero na uyashkanichu
    Time Stamp: ("'ts1045'", "'ts1046'"), Annotation: utku
    Time Stamp: ("'ts1048'", "'ts1051'"), Annotation: medio hueco medio hueco shina nin
    Time Stamp: ("'ts1053'", "'ts1056'"), Annotation: algodun ninga pero na yapa parlanchu nachu  ari
    Time Stamp: ("'ts1059'", "'ts1060'"), Annotation: cobijas
    Time Stamp: ("'ts1063'", "'ts1064'"), Annotation: jatana
    Time Stamp: ("'ts1065'", "'ts1066'"), Annotation: sanka poso kunata
    Time Stamp: ("'ts1072'", "'ts1074'"), Annotation: canal
    Time Stamp: ("'ts1077'", "'ts1078'"), Annotation: canal
    Time Stamp: ("'ts1081'", "'ts1084'"), Annotation: lacra  uyashkangui na
    Time Stamp: ("'ts1085'", "'ts1086'"), Annotation: grieta
    Time Stamp: ("'ts1087'", "'ts1088'"), Annotation: ee apertura
    Time Stamp: ("'ts1090'", "'ts1092'"), Annotation: pashkarishka ajan
    Time Stamp: ("'ts1095'", "'ts1097'"), Annotation: waka uyashkangui  chayta ningapa  ari
    Time Stamp: ("'ts1099'", "'ts1100'"), Annotation: waka wakimpi shuk significado charin
    Time Stamp: ("'ts1101'", "'ts1103'"), Annotation: corona uyashkangui corona todos kay ari ari
    Time Stamp: ("'ts1104'", "'ts1106'"), Annotation: na , talvez Orientipi churanata yachan pluma shina
    Time Stamp: ("'ts1107'", "'ts1108'"), Annotation: vidrio o cristal
    Time Stamp: ("'ts1114'", "'ts1119'"), Annotation: kishpi nin pero chaypi shuk kan kishpi kishpichina shina
    Time Stamp: ("'ts1123'", "'ts1124'"), Annotation: ña nirkanchik nachu chupo
    Time Stamp: ("'ts1125'", "'ts1127'"), Annotation: tumor nachu
    Time Stamp: ("'ts1129'", "'ts1130'"), Annotation: chupo
    Time Stamp: ("'ts1131'", "'ts1132'"), Annotation: am hija
    Time Stamp: ("'ts1134'", "'ts1136'"), Annotation: ushushi y kaypi  tyan ushi ushushi
    Time Stamp: ("'ts1138'", "'ts1139'"), Annotation: ushi
    Time Stamp: ("'ts1140'", "'ts1141'"), Annotation: tukuykuna  ushi
    Time Stamp: ("'ts1142'", "'ts1145'"), Annotation: uyashkangui shuk provinciakunapi ushi
    Time Stamp: ("'ts1146'", "'ts1148'"), Annotation: ajan
    Time Stamp: ("'ts1149'", "'ts1151'"), Annotation: kaypi solo ushushi
    Time Stamp: ("'ts1154'", "'ts1156'"), Annotation: mjm
    Time Stamp: ("'ts1157'", "'ts1158'"), Annotation: noera
    Time Stamp: ("'ts1160'", "'ts1164'"), Annotation: jachun kaypi shuk charishka
