Speaker: Mujer 1 
  Tier Type: po, Annotations Count: 560
    Time Stamp: ('ts1755', 'ts1756'), Annotation: pero 
    Time Stamp: ('ts1757', 'ts1758'), Annotation: ya ishtata 
    Time Stamp: ('ts1759', 'ts1760'), Annotation: pagushkami 
    Time Stamp: ('ts1761', 'ts1762'), Annotation: rrikani 
    Time Stamp: ('ts1767', 'ts1768'), Annotation: almuerzunabu
    Time Stamp: ('ts1769', 'ts1770'), Annotation: hotelgunapash
    Time Stamp: ('ts1771', 'ts1772'), Annotation: ya pagushka
    Time Stamp: ('ts1781', 'ts1782'), Annotation: ñuka jushuta mikunata 
    Time Stamp: ('ts1783', 'ts1785'), Annotation: aparrte
    Time Stamp: ('ts1786', 'ts1788'), Annotation: kulkita apana 
    Time Stamp: ('ts1791', 'ts1792'), Annotation: rrupaka baratuchu 
    Time Stamp: ('ts1793', 'ts1794'), Annotation: chaypika 
    Time Stamp: ('ts1840', 'ts1842'), Annotation: ima punlla 
    Time Stamp: ('ts1843', 'ts1844'), Annotation: chimanga 
    Time Stamp: ('ts1845', 'ts1846'), Annotation: feriaguna ti 
    Time Stamp: ('ts1858', 'ts1860'), Annotation: Virgen de Guadalupeman 
    Time Stamp: ('ts1861', 'ts1862'), Annotation: rririjuni 
    Time Stamp: ('ts1879', 'ts1881'), Annotation: haaaa
    Time Stamp: ('ts1887', 'ts1888'), Annotation: ariiiiiiii
    Time Stamp: ('ts1893', 'ts1894'), Annotation: shini ña rrishinishi ña 
    Time Stamp: ('ts1895', 'ts1897'), Annotation: purijuni 
    Time Stamp: ('ts1915', 'ts1916'), Annotation: mmm
    Time Stamp: ('ts1921', 'ts1922'), Annotation: avionbi ña 
    Time Stamp: ('ts1923', 'ts1924'), Annotation: masque 
    Time Stamp: ('ts1925', 'ts1926'), Annotation: Panababimi 
    Time Stamp: ('ts1927', 'ts1928'), Annotation: rrandishun nin 
    Time Stamp: ('ts1929', 'ts1930'), Annotation: cosaskunataka 
    Time Stamp: ('ts1931', 'ts1932'), Annotation: Panababimi 
